"name_cell" "origin_space"
"1" "SS.sc7785290" "Yolk Sac"
"2" "SS.sc7786612" "Rostral"
"3" "SS.sc7786605" "Rostral"
"4" "SS.sc7785737" "Caudal"
"5" "SS.sc7785398" "Yolk Sac"
"6" "SS.sc7788091" "Caudal"
"7" "SS.sc7785785" "Caudal"
"8" "SS.sc7785959" "Caudal"
"9" "SS.sc7785611" "Rostral"
"10" "SS.sc7786585" "Rostral"
"11" "SS.sc7785580" "Rostral"
"12" "SS.sc7786076" "Caudal"
"13" "SS.sc7785704" "Caudal"
"14" "SS.sc7785425" "Yolk Sac"
"15" "SS.sc7786250" "Caudal"
"16" "SS.sc7785745" "Caudal"
"17" "SS.sc7785599" "Yolk Sac"
"18" "SS.sc7785517" "Rostral"
"19" "SS.sc7785907" "Caudal"
"20" "SS.sc7785781" "Caudal"
"21" "SS.sc7786375" "Caudal"
"22" "SS.sc7785455" "Yolk Sac"
"23" "SS.sc7786229" "Caudal"
"24" "SS.sc7788319" "Caudal"
"25" "SS.sc7785819" "Caudal"
"26" "SS.sc7785535" "Rostral"
"27" "SS.sc7785293" "Rostral"
"28" "SS.sc7786726" "Rostral"
"29" "SS.sc7786284" "Caudal"
"30" "SS.sc7785598" "Yolk Sac"
"31" "SS.sc7788138" "Caudal"
"32" "SS.sc7786611" "Rostral"
"33" "SS.sc7785901" "Caudal"
"34" "SS.sc7785605" "Rostral"
"35" "SS.sc7785291" "Yolk Sac"
"36" "SS.sc7788067" "Caudal"
"37" "SS.sc7785883" "Caudal"
"38" "SS.sc7785601" "Yolk Sac"
"39" "SS.sc7788215" "Caudal"
"40" "SS.sc7785809" "Caudal"
"41" "SS.sc7785732" "Caudal"
"42" "SS.sc7786144" "Caudal"
"43" "SS.sc7785753" "Caudal"
"44" "SS.sc7785378" "Yolk Sac"
"45" "SS.sc7785430" "Yolk Sac"
"46" "SS.sc7786263" "Caudal"
"47" "SS.sc7788072" "Caudal"
"48" "SS.sc7786040" "Caudal"
"49" "SS.sc7785878" "Rostral"
"50" "SS.sc7786655" "Rostral"
"51" "SS.sc7785670" "Caudal"
"52" "SS.sc7786487" "Rostral"
"53" "SS.sc7786194" "Caudal"
"54" "SS.sc7788188" "Caudal"
"55" "SS.sc7786233" "Caudal"
"56" "SS.sc7786347" "Caudal"
"57" "SS.sc7788314" "Caudal"
"58" "SS.sc7785362" "Yolk Sac"
"59" "SS.sc7786112" "Caudal"
"60" "SS.sc7785569" "Yolk Sac"
"61" "SS.sc7785530" "Yolk Sac"
"62" "SS.sc7788244" "Caudal"
"63" "SS.sc7788367" "Caudal"
"64" "SS.sc7788381" "Caudal"
"65" "SS.sc7786618" "Rostral"
"66" "SS.sc7786473" "Rostral"
"67" "SS.sc7786718" "Rostral"
"68" "SS.sc7786316" "Caudal"
"69" "SS.sc7786361" "Caudal"
"70" "SS.sc7785806" "Rostral"
"71" "SS.sc7786636" "Rostral"
"72" "SS.sc7786649" "Rostral"
"73" "SS.sc7788383" "Caudal"
"74" "SS.sc7785757" "Caudal"
"75" "SS.sc7785327" "Yolk Sac"
"76" "SS.sc7786488" "Rostral"
"77" "SS.sc7786523" "Rostral"
"78" "SS.sc7788337" "Caudal"
"79" "SS.sc7785963" "Caudal"
"80" "SS.sc7786540" "Rostral"
"81" "SS.sc7788101" "Caudal"
"82" "SS.sc7786604" "Rostral"
"83" "SS.sc7786353" "Caudal"
"84" "SS.sc7786615" "Rostral"
"85" "SS.sc7788095" "Caudal"
"86" "SS.sc7786114" "Caudal"
"87" "SS.sc7786482" "Rostral"
"88" "SS.sc7785754" "Caudal"
"89" "SS.sc7788342" "Caudal"
"90" "SS.sc7786415" "Caudal"
"91" "SS.sc7785758" "Rostral"
"92" "SS.sc7788306" "Caudal"
"93" "SS.sc7786138" "Caudal"
"94" "SS.sc7785451" "Yolk Sac"
"95" "SS.sc7786220" "Caudal"
"96" "SS.sc7786740" "Rostral"
"97" "SS.sc7786290" "Caudal"
"98" "SS.sc7785336" "Yolk Sac"
"99" "SS.sc7785474" "Yolk Sac"
"100" "SS.sc7788295" "Caudal"
